hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,1,102,2018,July,28,8,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,66.420000000000002,0,1,Canceled,5-28-2018
Resort Hotel,1,280,2018,July,28,8,2,5,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,NULL,0,Contract,112,0,1,Canceled,4-15-2018
Resort Hotel,1,77,2018,July,28,9,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,97,0,0,Canceled,6-02-2018
Resort Hotel,1,24,2018,July,28,9,0,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,NULL,0,Transient,123,0,1,Canceled,6-16-2018
Resort Hotel,1,44,2018,July,28,9,0,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153,0,0,Canceled,6-16-2018
Resort Hotel,1,17,2018,July,28,9,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,105.08,0,0,Canceled,6-23-2018
Resort Hotel,1,103,2018,July,28,9,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,65.420000000000002,0,0,Canceled,6-27-2018
Resort Hotel,1,69,2018,July,28,9,2,6,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,118.13,0,2,Canceled,5-13-2018
Resort Hotel,1,51,2018,July,28,10,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,0,0,Canceled,6-29-2018
Resort Hotel,1,100,2018,July,28,11,2,3,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,149,NULL,0,Transient,153.96000000000001,0,0,Canceled,5-29-2018
Resort Hotel,1,36,2018,July,28,11,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,126.67,0,0,Canceled,6-08-2018
Resort Hotel,1,109,2018,July,28,11,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,73.799999999999997,0,1,Canceled,4-22-2018
Resort Hotel,1,59,2018,July,28,11,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,111.25,0,2,Canceled,5-19-2018
Resort Hotel,1,72,2018,July,29,12,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,93,0,2,Canceled,5-12-2018
Resort Hotel,1,58,2018,July,29,12,2,5,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,164.56999999999999,0,1,Canceled,6-29-2018
Resort Hotel,1,51,2018,July,29,12,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,105.70999999999999,0,0,Canceled,7-03-2018
Resort Hotel,1,97,2018,July,29,12,3,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,126,0,1,Canceled,6-19-2018
Resort Hotel,1,24,2018,July,29,12,2,1,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,128,0,0,Canceled,6-22-2018
Resort Hotel,1,79,2018,July,29,13,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,100.86,0,1,Canceled,5-13-2018
Resort Hotel,1,45,2018,July,29,13,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,123,0,0,Canceled,6-18-2018
Resort Hotel,1,60,2018,July,29,13,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,NULL,0,Transient,79.5,0,0,Canceled,6-24-2018
Resort Hotel,1,321,2018,July,29,13,1,4,2,0,0,HB,PRT,Direct,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,132.80000000000001,0,1,Canceled,3-05-2018
Resort Hotel,1,51,2018,July,29,13,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156,NULL,0,Contract,79.5,0,0,Canceled,5-23-2018
Resort Hotel,1,75,2018,July,29,13,1,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,144.19999999999999,0,1,Canceled,6-22-2018
Resort Hotel,1,42,2018,July,29,13,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,120,0,0,Canceled,6-01-2018
Resort Hotel,1,81,2018,July,29,13,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,98.5,0,2,Canceled,4-24-2018
Resort Hotel,1,98,2018,July,29,13,1,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,130.5,0,0,Canceled,5-12-2018
Resort Hotel,1,95,2018,July,29,13,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,100.86,0,1,Canceled,4-15-2018
Resort Hotel,1,40,2018,July,29,14,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171,NULL,0,Transient,105.5,0,0,Canceled,7-03-2018
Resort Hotel,1,76,2018,July,29,14,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,126,0,2,Canceled,5-27-2018
Resort Hotel,1,112,2018,July,29,14,2,5,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,65.700000000000003,0,1,Canceled,4-06-2018
Resort Hotel,1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,107.67,0,1,Canceled,4-11-2018
Resort Hotel,1,96,2018,July,29,14,2,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,96.900000000000006,0,1,Canceled,4-11-2018
Resort Hotel,1,62,2018,July,29,15,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171,NULL,0,Transient,91.5,0,0,Canceled,7-03-2018
Resort Hotel,1,39,2018,July,29,15,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,132.44,0,0,Canceled,6-27-2018
Resort Hotel,1,58,2018,July,29,15,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,131.86000000000001,0,0,Canceled,6-25-2018
Resort Hotel,1,57,2018,July,29,15,0,2,2,0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,305,NULL,0,Transient-Party,0,0,0,Canceled,7-13-2018
Resort Hotel,1,66,2018,July,29,16,0,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195,0,1,Canceled,7-02-2018
Resort Hotel,1,48,2018,July,29,16,0,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,146,NULL,0,Transient,112,0,0,Canceled,6-05-2018
Resort Hotel,1,0,2018,July,29,16,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,123.2,0,0,Canceled,7-16-2018
Resort Hotel,1,66,2018,July,29,16,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,103.5,0,1,Canceled,7-02-2018
Resort Hotel,1,10,2018,July,29,16,0,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,134,0,0,Canceled,7-13-2018
Resort Hotel,1,58,2018,July,29,16,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,147,0,0,Canceled,6-19-2018
Resort Hotel,1,17,2018,July,29,16,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,151.33000000000001,0,0,Canceled,6-30-2018
Resort Hotel,1,12,2018,July,29,16,2,3,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,178,0,Transient,139,0,0,Canceled,7-07-2018
Resort Hotel,1,35,2018,July,29,16,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,0,Canceled,6-13-2018
Resort Hotel,1,35,2018,July,29,16,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,0,Canceled,6-11-2018
Resort Hotel,1,15,2018,July,29,17,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,134,0,1,Canceled,7-06-2018
Resort Hotel,1,7,2018,July,29,17,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,127.25,0,1,Canceled,7-13-2018
Resort Hotel,1,23,2018,July,29,17,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,120.59999999999999,0,1,Canceled,7-04-2018
Resort Hotel,1,23,2018,July,29,17,2,5,2,2,0,BB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,250,NULL,0,Transient,195,0,0,Canceled,6-24-2018
Resort Hotel,1,32,2018,July,29,17,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154,0,0,Canceled,6-24-2018
Resort Hotel,1,0,2018,July,29,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,L,C,0,No Deposit,NULL,NULL,0,Transient,136,0,0,Canceled,7-17-2018
Resort Hotel,1,37,2018,July,29,18,2,4,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242,NULL,0,Transient,168.30000000000001,0,0,Canceled,7-18-2018
Resort Hotel,1,96,2018,July,29,18,2,2,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,147,0,0,Canceled,4-29-2018
Resort Hotel,1,123,2018,July,29,18,2,2,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,NULL,0,Transient,157,0,2,Canceled,6-04-2018
Resort Hotel,1,42,2018,July,29,18,2,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,210,0,0,Canceled,6-11-2018
Resort Hotel,1,40,2018,July,29,18,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,196,NULL,0,Transient,127.03,0,2,Canceled,6-24-2018
Resort Hotel,1,60,2018,July,29,18,2,6,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,167,0,0,Canceled,6-01-2018
Resort Hotel,1,59,2018,July,30,19,2,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,145,0,0,Canceled,5-23-2018
Resort Hotel,1,37,2018,July,30,19,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154,0,0,Canceled,6-29-2018
Resort Hotel,1,38,2018,July,30,19,2,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,NULL,0,Transient,110.53,0,0,Canceled,6-19-2018
Resort Hotel,1,62,2018,July,30,19,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,NULL,0,Transient,158.5,0,1,Canceled,6-17-2018
Resort Hotel,1,60,2018,July,30,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,117.70999999999999,0,0,Canceled,5-27-2018
Resort Hotel,1,62,2018,July,30,19,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,261,NULL,0,Transient,158.5,0,1,Canceled,6-17-2018
Resort Hotel,1,31,2018,July,30,19,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,154,0,0,Canceled,6-19-2018
Resort Hotel,1,24,2018,July,30,19,2,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,214,0,0,Canceled,6-29-2018
Resort Hotel,1,104,2018,July,30,19,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,115,0,2,Canceled,7-02-2018
Resort Hotel,1,47,2018,July,30,19,3,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195,0,0,Canceled,7-14-2018
Resort Hotel,1,118,2018,July,30,20,1,2,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,179.09999999999999,0,2,Canceled,5-13-2018
Resort Hotel,1,41,2018,July,30,20,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,1,Canceled,6-15-2018
Resort Hotel,1,41,2018,July,30,20,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,1,Canceled,6-15-2018
Resort Hotel,1,60,2018,July,30,20,1,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195,0,0,Canceled,6-17-2018
Resort Hotel,1,69,2018,July,30,20,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,0,Canceled,6-08-2018
Resort Hotel,1,41,2018,July,30,20,1,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,214,0,1,Canceled,6-22-2018
Resort Hotel,1,41,2018,July,30,20,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,NULL,0,Transient,141.33000000000001,0,1,Canceled,6-22-2018
Resort Hotel,1,28,2018,July,30,20,2,5,2,1,0,FB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,NULL,NULL,0,Transient,240.63999999999999,0,0,Canceled,7-20-2018
Resort Hotel,1,86,2018,July,30,20,2,5,2,1,0,HB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,172.93000000000001,0,1,Canceled,5-11-2018
Resort Hotel,1,118,2018,July,30,20,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,179.09999999999999,0,1,Canceled,4-23-2018
Resort Hotel,1,52,2018,July,30,20,3,6,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,142,NULL,0,Transient,92,0,0,Canceled,6-02-2018
Resort Hotel,1,49,2018,July,30,20,3,6,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,NULL,0,Transient,111.2,0,0,Canceled,6-01-2018
Resort Hotel,1,7,2018,July,30,20,3,8,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,NULL,0,Transient,200,0,0,Canceled,7-14-2018
Resort Hotel,1,7,2018,July,30,20,3,8,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,NULL,0,Transient,200,0,0,Canceled,7-14-2018
Resort Hotel,1,42,2018,July,30,21,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,157,0,0,Canceled,7-08-2018
Resort Hotel,1,81,2018,July,30,21,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,115,0,2,Canceled,6-01-2018
Resort Hotel,1,63,2018,July,30,21,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195,0,0,Canceled,6-19-2018
Resort Hotel,1,96,2018,July,30,22,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,119.75,0,1,Canceled,4-22-2018
Resort Hotel,1,44,2018,July,30,22,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,1,Canceled,6-09-2018
Resort Hotel,1,44,2018,July,30,22,0,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,195,0,1,Canceled,6-09-2018
Resort Hotel,1,44,2018,July,30,22,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,135,0,1,Canceled,6-09-2018
